TERM,ACAD_CAREER,COURSE CODE,CLASS SECTION,Delivery Mode of Lectures,START DATE,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE,OFFER DEPT,INSTRUCTOR
2020-21 Sem 1,UG,COMP1117,1A,Online,2020-09-03,2020-09-24,,,,THU,,,,ONLINE,15:30,16:20,Computer programming,Dept of Computer Science,"Lam,Carmen; Ting,Hing Fung"
2020-21 Sem 1,UG,COMP1117,1A,Online,2020-09-07,2020-10-05,MON,,,,,,,ONLINE,15:30,17:20,Computer programming,Dept of Computer Science,"Lam,Carmen; Ting,Hing Fung"
2020-21 Sem 1,UG,COMP1117,1A,Online,2020-10-08,2020-10-08,,,,THU,,,,ONLINE,15:30,16:20,Computer programming,Dept of Computer Science,"Lam,Carmen; Ting,Hing Fung"
2020-21 Sem 1,UG,COMP1117,1A,Online,2020-10-19,2020-10-19,MON,,,,,,,ONLINE,15:30,17:20,Computer programming,Dept of Computer Science,"Lam,Carmen; Ting,Hing Fung"
2020-21 Sem 1,UG,COMP1117,1A,Online,2020-10-22,2020-11-26,,,,THU,,,,ONLINE,15:30,16:20,Computer programming,Dept of Computer Science,"Lam,Carmen; Ting,Hing Fung"
2020-21 Sem 1,UG,COMP1117,1A,Online,2020-11-02,2020-11-30,MON,,,,,,,ONLINE,15:30,17:20,Computer programming,Dept of Computer Science,"Lam,Carmen; Ting,Hing Fung"
2020-21 Sem 1,UG,COMP2113,1A,Face-to-face,2020-09-03,2020-09-24,,,,THU,,,,CPD-3.04,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2113,1A,Face-to-face,2020-10-08,2020-10-08,,,,THU,,,,CPD-3.04,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2113,1A,Face-to-face,2020-10-22,2020-11-26,,,,THU,,,,CPD-3.04,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2113,1B,Face-to-face,2020-09-02,2020-10-07,,,WED,,,,,CYPP4,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2113,1B,Face-to-face,2020-10-21,2020-11-25,,,WED,,,,,CYPP4,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2113,1C,Face-to-face,2020-09-02,2020-10-07,,,WED,,,,,RHT,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2113,1C,Face-to-face,2020-10-21,2020-11-25,,,WED,,,,,RHT,10:30,12:20,Programming technologies,Dept of Computer Science,"Chim,Tat Wing; Choi,Yi King"
2020-21 Sem 1,UG,COMP2119,1A,Online,2020-09-01,2020-10-06,,TUE,,,,,,ONLINE,12:30,13:20,Introduction to data structures and algorithms,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2119,1A,Online,2020-09-04,2020-09-25,,,,,FRI,,,ONLINE,12:30,14:20,Introduction to data structures and algorithms,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2119,1A,Online,2020-10-09,2020-10-09,,,,,FRI,,,ONLINE,12:30,14:20,Introduction to data structures and algorithms,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2119,1A,Online,2020-10-20,2020-11-24,,TUE,,,,,,ONLINE,12:30,13:20,Introduction to data structures and algorithms,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2119,1A,Online,2020-10-23,2020-11-27,,,,,FRI,,,ONLINE,12:30,14:20,Introduction to data structures and algorithms,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2121,1A,Online,2020-09-01,2020-10-06,,TUE,,,,,,ONLINE,09:30,10:20,Discrete mathematics,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2121,1A,Online,2020-09-04,2020-09-25,,,,,FRI,,,ONLINE,09:30,11:20,Discrete mathematics,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2121,1A,Online,2020-10-09,2020-10-09,,,,,FRI,,,ONLINE,09:30,11:20,Discrete mathematics,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2121,1A,Online,2020-10-20,2020-11-24,,TUE,,,,,,ONLINE,09:30,10:20,Discrete mathematics,Dept of Computer Science,"Chan,Tsz Hong Hubert"
2020-21 Sem 1,UG,COMP2121,1A,Online,2020-10-23,2020-11-27,,,,,FRI,,,ONLINE,09:30,11:20,Discrete mathematics,Dept of Computer Science,"Chan,Tsz Hong Hubert"
